tag,step,value
test/env_step,0,0.0
test/env_step,65536,65536.0
test/env_step,131072,131072.0
test/env_step,196608,196608.0
test/env_step,262144,262144.0
test/env_step,327680,327680.0
test/env_step,393216,393216.0
test/env_step,458752,458752.0
test/env_step,524288,524288.0
test/env_step,589824,589824.0
test/env_step,655360,655360.0
test/env_step,720896,720896.0
test/env_step,786432,786432.0
test/env_step,851968,851968.0
test/env_step,917504,917504.0
test/env_step,983040,983040.0
test/env_step,1048576,1048576.0
test/env_step,1114112,1114112.0
test/env_step,1179648,1179648.0
test/env_step,1245184,1245184.0
test/env_step,1310720,1310720.0
test/env_step,1376256,1376256.0
test/env_step,1441792,1441792.0
test/env_step,1507328,1507328.0
test/env_step,1572864,1572864.0
test/env_step,1638400,1638400.0
test/env_step,1703936,1703936.0
test/n_collected_episodes,0,16.0
test/n_collected_episodes,65536,16.0
test/n_collected_episodes,131072,16.0
test/n_collected_episodes,196608,16.0
test/n_collected_episodes,262144,16.0
test/n_collected_episodes,327680,16.0
test/n_collected_episodes,393216,16.0
test/n_collected_episodes,458752,16.0
test/n_collected_episodes,524288,16.0
test/n_collected_episodes,589824,16.0
test/n_collected_episodes,655360,16.0
test/n_collected_episodes,720896,16.0
test/n_collected_episodes,786432,16.0
test/n_collected_episodes,851968,16.0
test/n_collected_episodes,917504,16.0
test/n_collected_episodes,983040,16.0
test/n_collected_episodes,1048576,16.0
test/n_collected_episodes,1114112,16.0
test/n_collected_episodes,1179648,16.0
test/n_collected_episodes,1245184,16.0
test/n_collected_episodes,1310720,16.0
test/n_collected_episodes,1376256,16.0
test/n_collected_episodes,1441792,16.0
test/n_collected_episodes,1507328,16.0
test/n_collected_episodes,1572864,16.0
test/n_collected_episodes,1638400,16.0
test/n_collected_episodes,1703936,16.0
test/n_collected_steps,0,1600.0
test/n_collected_steps,65536,1600.0
test/n_collected_steps,131072,1600.0
test/n_collected_steps,196608,1600.0
test/n_collected_steps,262144,1600.0
test/n_collected_steps,327680,1600.0
test/n_collected_steps,393216,1600.0
test/n_collected_steps,458752,1600.0
test/n_collected_steps,524288,1600.0
test/n_collected_steps,589824,1600.0
test/n_collected_steps,655360,1600.0
test/n_collected_steps,720896,1600.0
test/n_collected_steps,786432,1600.0
test/n_collected_steps,851968,1600.0
test/n_collected_steps,917504,1600.0
test/n_collected_steps,983040,1600.0
test/n_collected_steps,1048576,1600.0
test/n_collected_steps,1114112,1600.0
test/n_collected_steps,1179648,1600.0
test/n_collected_steps,1245184,1600.0
test/n_collected_steps,1310720,1600.0
test/n_collected_steps,1376256,1600.0
test/n_collected_steps,1441792,1600.0
test/n_collected_steps,1507328,1600.0
test/n_collected_steps,1572864,1600.0
test/n_collected_steps,1638400,1600.0
test/n_collected_steps,1703936,1600.0
test/collect_time,0,30.606416702270508
test/collect_time,65536,17.790510177612305
test/collect_time,131072,18.821258544921875
test/collect_time,196608,19.09031867980957
test/collect_time,262144,19.215744018554688
test/collect_time,327680,17.295808792114258
test/collect_time,393216,16.790416717529297
test/collect_time,458752,17.3564510345459
test/collect_time,524288,17.064931869506836
test/collect_time,589824,17.21314239501953
test/collect_time,655360,19.68685531616211
test/collect_time,720896,19.613391876220703
test/collect_time,786432,17.227344512939453
test/collect_time,851968,19.526142120361328
test/collect_time,917504,17.0019588470459
test/collect_time,983040,17.099178314208984
test/collect_time,1048576,19.887001037597656
test/collect_time,1114112,17.162433624267578
test/collect_time,1179648,19.966184616088867
test/collect_time,1245184,16.748411178588867
test/collect_time,1310720,16.718629837036133
test/collect_time,1376256,20.0967960357666
test/collect_time,1441792,20.497053146362305
test/collect_time,1507328,20.08804702758789
test/collect_time,1572864,16.829692840576172
test/collect_time,1638400,20.333148956298828
test/collect_time,1703936,17.11916160583496
test/collect_speed,0,52.27661895751953
test/collect_speed,65536,89.93558502197266
test/collect_speed,131072,85.01025390625
test/collect_speed,196608,83.81211853027344
test/collect_speed,262144,83.26505279541016
test/collect_speed,327680,92.5079574584961
test/collect_speed,393216,95.29244995117188
test/collect_speed,458752,92.18474578857422
test/collect_speed,524288,93.75952911376953
test/collect_speed,589824,92.95222473144531
test/collect_speed,655360,81.27249908447266
test/collect_speed,720896,81.57691955566406
test/collect_speed,786432,92.87560272216797
test/collect_speed,851968,81.9414291381836
test/collect_speed,917504,94.10680389404297
test/collect_speed,983040,93.57174682617188
test/collect_speed,1048576,80.45455932617188
test/collect_speed,1114112,93.22687530517578
test/collect_speed,1179648,80.13549041748047
test/collect_speed,1245184,95.53145599365234
test/collect_speed,1310720,95.70162200927734
test/collect_speed,1376256,79.61467742919922
test/collect_speed,1441792,78.06000518798828
test/collect_speed,1507328,79.64936065673828
test/collect_speed,1572864,95.070068359375
test/collect_speed,1638400,78.68923950195312
test/collect_speed,1703936,93.4625244140625
test/returns_stat/mean,0,-0.800000011920929
test/returns_stat/mean,65536,-31.523160934448242
test/returns_stat/mean,131072,-21.283905029296875
test/returns_stat/mean,196608,-31.0
test/returns_stat/mean,262144,-31.0
test/returns_stat/mean,327680,-31.0
test/returns_stat/mean,393216,-31.0
test/returns_stat/mean,458752,-31.0
test/returns_stat/mean,524288,-31.0
test/returns_stat/mean,589824,-31.0
test/returns_stat/mean,655360,-31.0
test/returns_stat/mean,720896,-31.0
test/returns_stat/mean,786432,-31.0
test/returns_stat/mean,851968,-31.0
test/returns_stat/mean,917504,-31.0
test/returns_stat/mean,983040,-31.0
test/returns_stat/mean,1048576,-31.0
test/returns_stat/mean,1114112,-31.0
test/returns_stat/mean,1179648,-31.0
test/returns_stat/mean,1245184,-31.0
test/returns_stat/mean,1310720,-31.0
test/returns_stat/mean,1376256,-31.0
test/returns_stat/mean,1441792,-31.0
test/returns_stat/mean,1507328,-31.0
test/returns_stat/mean,1572864,-31.0
test/returns_stat/mean,1638400,-31.0
test/returns_stat/mean,1703936,-31.0
test/returns_stat/std,0,3.19140838701739e-15
test/returns_stat/std,65536,2.72807240486145
test/returns_stat/std,131072,29.621688842773438
test/returns_stat/std,196608,0.0
test/returns_stat/std,262144,0.0
test/returns_stat/std,327680,0.0
test/returns_stat/std,393216,0.0
test/returns_stat/std,458752,0.0
test/returns_stat/std,524288,0.0
test/returns_stat/std,589824,0.0
test/returns_stat/std,655360,0.0
test/returns_stat/std,720896,0.0
test/returns_stat/std,786432,0.0
test/returns_stat/std,851968,0.0
test/returns_stat/std,917504,0.0
test/returns_stat/std,983040,0.0
test/returns_stat/std,1048576,0.0
test/returns_stat/std,1114112,0.0
test/returns_stat/std,1179648,0.0
test/returns_stat/std,1245184,0.0
test/returns_stat/std,1310720,0.0
test/returns_stat/std,1376256,0.0
test/returns_stat/std,1441792,0.0
test/returns_stat/std,1507328,0.0
test/returns_stat/std,1572864,0.0
test/returns_stat/std,1638400,0.0
test/returns_stat/std,1703936,0.0
test/returns_stat/max,0,-0.800000011920929
test/returns_stat/max,65536,-23.629127502441406
test/returns_stat/max,131072,93.39657592773438
test/returns_stat/max,196608,-31.0
test/returns_stat/max,262144,-31.0
test/returns_stat/max,327680,-31.0
test/returns_stat/max,393216,-31.0
test/returns_stat/max,458752,-31.0
test/returns_stat/max,524288,-31.0
test/returns_stat/max,589824,-31.0
test/returns_stat/max,655360,-31.0
test/returns_stat/max,720896,-31.0
test/returns_stat/max,786432,-31.0
test/returns_stat/max,851968,-31.0
test/returns_stat/max,917504,-31.0
test/returns_stat/max,983040,-31.0
test/returns_stat/max,1048576,-31.0
test/returns_stat/max,1114112,-31.0
test/returns_stat/max,1179648,-31.0
test/returns_stat/max,1245184,-31.0
test/returns_stat/max,1310720,-31.0
test/returns_stat/max,1376256,-31.0
test/returns_stat/max,1441792,-31.0
test/returns_stat/max,1507328,-31.0
test/returns_stat/max,1572864,-31.0
test/returns_stat/max,1638400,-31.0
test/returns_stat/max,1703936,-31.0
test/returns_stat/min,0,-0.800000011920929
test/returns_stat/min,65536,-37.47653579711914
test/returns_stat/min,131072,-29.600000381469727
test/returns_stat/min,196608,-31.0
